target_month,permno,ticker,company_name,weight,raw_forward,model
2022-04,16158,,,0.020042002272606135,,annual_blend
2022-07,19856,,,-0.016999999999999998,,annual_blend
2022-08,11343,,,0.018856320337869818,,annual_blend
2022-08,15921,,,-0.01709056179325951,,annual_blend
2022-09,17037,,,-0.01783848918649635,,annual_blend
2022-10,18771,CHNG,CHANGE HEALTHCARE INC,-0.016829046225215798,,annual_blend
2022-12,13890,,,0.02151363621680545,,annual_blend
2022-12,19461,AKUS,AKOUOS INC,-0.018486363783194553,,annual_blend
2023-01,20549,,,0.019719721970974678,,annual_blend
2023-01,75107,,,0.019719721970974678,,annual_blend
2023-02,20899,KNBE,KNOWBE4 INC,0.01676689926102744,,annual_blend
2023-03,12437,RFP,RESOLUTE FOREST PRODUCTS INC,0.021346914112076332,,annual_blend
2023-04,18736,,,-0.006482158000506656,,annual_blend
2023-05,17973,,,-0.017755452783926557,,annual_blend
2023-06,17035,,,0.019648253072711633,,annual_blend
2023-10,19989,,,0.019235444071075674,,annual_blend
2023-11,21967,,,0.01901776130270541,,annual_blend
2023-12,82542,,,0.02204078584468655,,annual_blend
2023-12,88343,PACW,PACWEST BANCORP DE,-0.005096194594302186,,annual_blend
2023-12,86544,,,-0.01795921415531353,,annual_blend
2024-04,91363,,,0.020045999011489943,,annual_blend
2024-06,90194,,,0.01490390380507301,,annual_blend
2024-07,21767,,,-0.020017688849388263,,annual_blend
2024-11,21897,,,0.013397836442694749,,annual_blend
2024-11,16827,,,-0.019292911163626802,,annual_blend
2024-12,11370,,,0.02110084279283855,,annual_blend
2024-12,93369,,,0.02110084279283855,,annual_blend
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.018899157207161617,,annual_blend
2025-05,90716,,,0.019947563037851702,,annual_blend
2025-05,78034,,,0.019947563037851702,,annual_blend
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.01829495499829438,,annual_blend
2025-08,79866,,,0.01827577901149118,,annual_blend
2025-08,84041,,,0.01827577901149118,,annual_blend
2025-09,19502,,,0.01978642881964326,,annual_blend
2025-10,88568,,,0.014836111537901188,,annual_blend
2025-10,81593,COOP,MR COOPER GROUP INC,-0.008432123532725658,,annual_blend
2025-12,14169,,,0.01889874996953823,,annual_blend
2026-01,86827,,,0.017407564773238463,,annual_blend
2026-01,92143,,,0.017407564773238463,,annual_blend
2026-02,83822,,,0.017856559557759402,,annual_blend
2026-03,90029,,,0.019125447653757722,,annual_blend
2026-04,88863,,,0.01915973164194477,,annual_blend
2026-07,92220,,,0.017460835204833578,,annual_blend
2026-07,93035,,,0.017460835204833578,,annual_blend
2026-07,15285,,,-0.022539164795566734,,annual_blend
2026-08,14941,,,0.01769594129527397,,annual_blend
